method,path,endpoint_name,module_source_file,auto_classification,dependency_names,guard_status,required_action,verification_level
POST,/v1/provider/team-members,create_team_member,app.engines.provider_portal.router,TENANT_USER_MUTATION,create_team_member|get_db|require_tenant_owner_mutation|require_tenant_owner|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
PUT,/v1/provider/team-members/{member_id},update_team_member,app.engines.provider_portal.router,TENANT_USER_MUTATION,update_team_member|get_db|require_tenant_owner_mutation|require_tenant_owner|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
DELETE,/v1/provider/team-members/{member_id},delete_team_member,app.engines.provider_portal.router,TENANT_USER_MUTATION,delete_team_member|get_db|require_tenant_owner_mutation|require_tenant_owner|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
POST,/v1/provider/team-members/{member_id}/activate,activate_team_member,app.engines.provider_portal.router,TENANT_USER_MUTATION,activate_team_member|get_db|require_tenant_owner_mutation|require_tenant_owner|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
POST,/v1/provider/team-members/{member_id}/create-login,create_member_login,app.engines.provider_portal.router,TENANT_USER_MUTATION,create_member_login|get_db|require_tenant_owner_mutation|require_tenant_owner|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
POST,/v1/provider/team-members/{member_id}/deactivate,deactivate_team_member,app.engines.provider_portal.router,TENANT_USER_MUTATION,deactivate_team_member|get_db|require_tenant_owner_mutation|require_tenant_owner|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
POST,/v1/staff/chat/threads/{thread_id}/messages,staff_send_message,app.engines.platform_notifications.provider_router,TENANT_TECHNICIAN_MUTATION,staff_send_message|require_staff_or_technician_only|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,NONE — protected in Slice 2F-18,RUNTIME_VERIFIED (route+dependency data from live app); per-endpoint domain/ownership semantics not individually hand-reviewed for every row
POST,/v1/staff/chat/threads/{thread_id}/read,staff_mark_thread_read,app.engines.platform_notifications.provider_router,TENANT_TECHNICIAN_MUTATION,staff_mark_thread_read|require_staff_or_technician_only|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,NONE — protected in Slice 2F-18,RUNTIME_VERIFIED (route+dependency data from live app); per-endpoint domain/ownership semantics not individually hand-reviewed for every row
POST,/v1/staff/coaching-appointments/{appointment_id}/accept,staff_accept,app.engines.execution.coaching_router,TENANT_TECHNICIAN_MUTATION,staff_accept|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-12: require_owner_or_office_staff_mutation applied (technician deliberately excluded, no caller evidence); pre-existing per-appointment staff_member_id assignment ownership check in CoachingAppointmentExecutionService unchanged",SLICE_2F12_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f12/direct-authorization-idor-test-matrix.csv)
POST,/v1/staff/coaching-appointments/{appointment_id}/complete,staff_complete,app.engines.execution.coaching_router,TENANT_TECHNICIAN_MUTATION,staff_complete|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-12: require_owner_or_office_staff_mutation applied (technician deliberately excluded, no caller evidence); pre-existing per-appointment staff_member_id assignment ownership check in CoachingAppointmentExecutionService unchanged",SLICE_2F12_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f12/direct-authorization-idor-test-matrix.csv)
POST,/v1/staff/coaching-appointments/{appointment_id}/no-show,staff_no_show,app.engines.execution.coaching_router,TENANT_TECHNICIAN_MUTATION,staff_no_show|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-12: require_owner_or_office_staff_mutation applied (technician deliberately excluded, no caller evidence); pre-existing per-appointment staff_member_id assignment ownership check in CoachingAppointmentExecutionService unchanged",SLICE_2F12_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f12/direct-authorization-idor-test-matrix.csv)
POST,/v1/staff/coaching-appointments/{appointment_id}/notes,staff_add_note,app.engines.execution.coaching_router,TENANT_TECHNICIAN_MUTATION,staff_add_note|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-12: require_owner_or_office_staff_mutation applied (technician deliberately excluded, no caller evidence); pre-existing per-appointment staff_member_id assignment ownership check in CoachingAppointmentExecutionService unchanged",SLICE_2F12_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f12/direct-authorization-idor-test-matrix.csv)
POST,/v1/staff/coaching-appointments/{appointment_id}/reject,staff_reject,app.engines.execution.coaching_router,TENANT_TECHNICIAN_MUTATION,staff_reject|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-12: require_owner_or_office_staff_mutation applied (technician deliberately excluded, no caller evidence); pre-existing per-appointment staff_member_id assignment ownership check in CoachingAppointmentExecutionService unchanged",SLICE_2F12_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f12/direct-authorization-idor-test-matrix.csv)
POST,/v1/staff/coaching-appointments/{appointment_id}/request-reschedule,staff_reschedule,app.engines.execution.coaching_router,TENANT_TECHNICIAN_MUTATION,staff_reschedule|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-12: require_owner_or_office_staff_mutation applied (technician deliberately excluded, no caller evidence); pre-existing per-appointment staff_member_id assignment ownership check in CoachingAppointmentExecutionService unchanged",SLICE_2F12_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f12/direct-authorization-idor-test-matrix.csv)
POST,/v1/staff/coaching-appointments/{appointment_id}/start,staff_start,app.engines.execution.coaching_router,TENANT_TECHNICIAN_MUTATION,staff_start|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-12: require_owner_or_office_staff_mutation applied (technician deliberately excluded, no caller evidence); pre-existing per-appointment staff_member_id assignment ownership check in CoachingAppointmentExecutionService unchanged",SLICE_2F12_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f12/direct-authorization-idor-test-matrix.csv)
POST,/v1/staff/me/jobs/{job_id}/accept,accept,app.engines.field_ops.staff_router,TENANT_TECHNICIAN_MUTATION,accept|_svc|get_db|require_staff_or_technician_only,STAFF_EXECUTION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-14: require_staff_or_technician_only applied (extracted from the router's own pre-existing, correct inline role check into a named dependency so runtime verification recognizes it); pre-existing object-layer assignment ownership (_get_job_for_staff_action) unmodified",SLICE_2F14_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f14/direct-authorization-idor-test-matrix.csv)
POST,/v1/staff/me/jobs/{job_id}/checklist/complete,my_job_checklist_complete,app.engines.field_ops.staff_router,TENANT_TECHNICIAN_MUTATION,my_job_checklist_complete|_svc|get_db|require_staff_or_technician_only,STAFF_EXECUTION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-14: require_staff_or_technician_only applied (extracted from the router's own pre-existing, correct inline role check into a named dependency so runtime verification recognizes it); pre-existing object-layer assignment ownership (_get_job_for_staff_action) unmodified",SLICE_2F14_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f14/direct-authorization-idor-test-matrix.csv)
PUT,/v1/staff/me/jobs/{job_id}/checklist/items/{item_id},my_job_checklist_item,app.engines.field_ops.staff_router,TENANT_TECHNICIAN_MUTATION,my_job_checklist_item|_svc|get_db|require_staff_or_technician_only,STAFF_EXECUTION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-14: require_staff_or_technician_only applied (extracted from the router's own pre-existing, correct inline role check into a named dependency so runtime verification recognizes it); pre-existing object-layer assignment ownership (_get_job_for_staff_action) unmodified",SLICE_2F14_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f14/direct-authorization-idor-test-matrix.csv)
POST,/v1/staff/me/jobs/{job_id}/checklist/start,my_job_checklist_start,app.engines.field_ops.staff_router,TENANT_TECHNICIAN_MUTATION,my_job_checklist_start|_svc|get_db|require_staff_or_technician_only,STAFF_EXECUTION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-14: require_staff_or_technician_only applied (extracted from the router's own pre-existing, correct inline role check into a named dependency so runtime verification recognizes it); pre-existing object-layer assignment ownership (_get_job_for_staff_action) unmodified",SLICE_2F14_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f14/direct-authorization-idor-test-matrix.csv)
POST,/v1/staff/me/jobs/{job_id}/reject-assignment,reject,app.engines.field_ops.staff_router,TENANT_TECHNICIAN_MUTATION,reject|_svc|get_db|require_staff_or_technician_only,STAFF_EXECUTION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-14: require_staff_or_technician_only applied (extracted from the router's own pre-existing, correct inline role check into a named dependency so runtime verification recognizes it); pre-existing object-layer assignment ownership (_get_job_for_staff_action) unmodified",SLICE_2F14_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f14/direct-authorization-idor-test-matrix.csv)
PUT,/v1/staff/me/jobs/{job_id}/status,update_status,app.engines.field_ops.staff_router,TENANT_TECHNICIAN_MUTATION,update_status|_svc|get_db|require_staff_or_technician_only,STAFF_EXECUTION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-14: require_staff_or_technician_only applied (extracted from the router's own pre-existing, correct inline role check into a named dependency so runtime verification recognizes it); pre-existing object-layer assignment ownership (_get_job_for_staff_action) unmodified",SLICE_2F14_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f14/direct-authorization-idor-test-matrix.csv)
POST,/v1/staff/notifications/mark-all-read,staff_mark_all_read,app.engines.platform_notifications.provider_router,TENANT_TECHNICIAN_MUTATION,staff_mark_all_read|require_staff_or_technician_only|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,NONE — protected in Slice 2F-18,RUNTIME_VERIFIED (route+dependency data from live app); per-endpoint domain/ownership semantics not individually hand-reviewed for every row
POST,/v1/staff/notifications/{notification_id}/read,staff_mark_read,app.engines.platform_notifications.provider_router,TENANT_TECHNICIAN_MUTATION,staff_mark_read|require_staff_or_technician_only|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,NONE — protected in Slice 2F-18,RUNTIME_VERIFIED (route+dependency data from live app); per-endpoint domain/ownership semantics not individually hand-reviewed for every row
PUT,/v1/staff/profile,update_staff_profile,app.engines.profile.router,TENANT_TECHNICIAN_MUTATION,update_staff_profile|require_technician|get_current_user|_svc_technician|get_db|require_technician|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- protected via require_staff_or_above_mutation (Slice 2F-36),SLICE_2F36_VERIFIED (live route/guard introspection -- see phase-02a-slice-02f36/frozen-scope-verification.md)
POST,/v1/staff/profile/photo,upload_staff_profile_photo,app.engines.media.new_router,TENANT_TECHNICIAN_MUTATION,upload_staff_profile_photo|require_technician|get_current_user|_svc|get_db|get_current_user,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- closed by Slice 2F-31 (N01): require_staff_or_above_mutation access-scope guard (same role set as require_technician) in front of the pre-existing MediaAccessService ownership chain,RUNTIME_VERIFIED + service evidence (Slice 2F-31): access-scope gated; tenant server-derived from actor; MediaAccessService.assert_can_view/replace ownership preserved
DELETE,/v1/staff/profile/photo,remove_staff_profile_photo,app.engines.media.new_router,TENANT_TECHNICIAN_MUTATION,remove_staff_profile_photo|require_technician|get_current_user|_svc|get_db|get_current_user,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- closed by Slice 2F-31 (N01): require_staff_or_above_mutation access-scope guard (same role set as require_technician) in front of the pre-existing MediaAccessService ownership chain,RUNTIME_VERIFIED + service evidence (Slice 2F-31): access-scope gated; tenant server-derived from actor; MediaAccessService.assert_can_view/replace ownership preserved
POST,/v1/staff/real-estate-leads/{lead_id}/accept,agent_accept,app.engines.execution.real_estate_router,TENANT_TECHNICIAN_MUTATION,agent_accept|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-11: require_owner_or_office_staff_mutation applied (technician deliberately excluded, no caller evidence); pre-existing per-lead agent_id assignment ownership check in RealEstateLeadExecutionService unchanged",SLICE_2F11_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f11/direct-authorization-test-matrix.csv)
POST,/v1/staff/real-estate-leads/{lead_id}/close-lost,agent_close_lost,app.engines.execution.real_estate_router,TENANT_TECHNICIAN_MUTATION,agent_close_lost|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-11: require_owner_or_office_staff_mutation applied (technician deliberately excluded, no caller evidence); pre-existing per-lead agent_id assignment ownership check in RealEstateLeadExecutionService unchanged",SLICE_2F11_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f11/direct-authorization-test-matrix.csv)
POST,/v1/staff/real-estate-leads/{lead_id}/complete-site-visit,agent_complete_site_visit,app.engines.execution.real_estate_router,TENANT_TECHNICIAN_MUTATION,agent_complete_site_visit|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-11: require_owner_or_office_staff_mutation applied (technician deliberately excluded, no caller evidence); pre-existing per-lead agent_id assignment ownership check in RealEstateLeadExecutionService unchanged",SLICE_2F11_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f11/direct-authorization-test-matrix.csv)
POST,/v1/staff/real-estate-leads/{lead_id}/convert,agent_convert,app.engines.execution.real_estate_router,TENANT_TECHNICIAN_MUTATION,agent_convert|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-11: require_owner_or_office_staff_mutation applied (technician deliberately excluded, no caller evidence); pre-existing per-lead agent_id assignment ownership check in RealEstateLeadExecutionService unchanged",SLICE_2F11_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f11/direct-authorization-test-matrix.csv)
POST,/v1/staff/real-estate-leads/{lead_id}/disqualify,agent_disqualify,app.engines.execution.real_estate_router,TENANT_TECHNICIAN_MUTATION,agent_disqualify|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-11: require_owner_or_office_staff_mutation applied (technician deliberately excluded, no caller evidence); pre-existing per-lead agent_id assignment ownership check in RealEstateLeadExecutionService unchanged",SLICE_2F11_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f11/direct-authorization-test-matrix.csv)
POST,/v1/staff/real-estate-leads/{lead_id}/mark-contacted,agent_mark_contacted,app.engines.execution.real_estate_router,TENANT_TECHNICIAN_MUTATION,agent_mark_contacted|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-11: require_owner_or_office_staff_mutation applied (technician deliberately excluded, no caller evidence); pre-existing per-lead agent_id assignment ownership check in RealEstateLeadExecutionService unchanged",SLICE_2F11_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f11/direct-authorization-test-matrix.csv)
POST,/v1/staff/real-estate-leads/{lead_id}/notes,agent_add_note,app.engines.execution.real_estate_router,TENANT_TECHNICIAN_MUTATION,agent_add_note|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-11: require_owner_or_office_staff_mutation applied (technician deliberately excluded, no caller evidence); pre-existing per-lead agent_id assignment ownership check in RealEstateLeadExecutionService unchanged",SLICE_2F11_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f11/direct-authorization-test-matrix.csv)
POST,/v1/staff/real-estate-leads/{lead_id}/plan-site-visit,agent_plan_site_visit,app.engines.execution.real_estate_router,TENANT_TECHNICIAN_MUTATION,agent_plan_site_visit|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-11: require_owner_or_office_staff_mutation applied (technician deliberately excluded, no caller evidence); pre-existing per-lead agent_id assignment ownership check in RealEstateLeadExecutionService unchanged",SLICE_2F11_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f11/direct-authorization-test-matrix.csv)
POST,/v1/staff/real-estate-leads/{lead_id}/qualify,agent_qualify,app.engines.execution.real_estate_router,TENANT_TECHNICIAN_MUTATION,agent_qualify|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-11: require_owner_or_office_staff_mutation applied (technician deliberately excluded, no caller evidence); pre-existing per-lead agent_id assignment ownership check in RealEstateLeadExecutionService unchanged",SLICE_2F11_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f11/direct-authorization-test-matrix.csv)
POST,/v1/staff/real-estate-leads/{lead_id}/reject,agent_reject,app.engines.execution.real_estate_router,TENANT_TECHNICIAN_MUTATION,agent_reject|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-11: require_owner_or_office_staff_mutation applied (technician deliberately excluded, no caller evidence); pre-existing per-lead agent_id assignment ownership check in RealEstateLeadExecutionService unchanged",SLICE_2F11_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f11/direct-authorization-test-matrix.csv)
POST,/v1/staff/real-estate-leads/{lead_id}/schedule-follow-up,agent_follow_up,app.engines.execution.real_estate_router,TENANT_TECHNICIAN_MUTATION,agent_follow_up|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-11: require_owner_or_office_staff_mutation applied (technician deliberately excluded, no caller evidence); pre-existing per-lead agent_id assignment ownership check in RealEstateLeadExecutionService unchanged",SLICE_2F11_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f11/direct-authorization-test-matrix.csv)
POST,/v1/staff/service-invoices,staff_create_invoice,app.engines.invoice_payment.provider_router,TENANT_TECHNICIAN_MUTATION,staff_create_invoice|require_owner_or_office_staff_mutation|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already fixed in Slice 2F-6A; canonical CSV was stale (see phase-02a-slice-02f17/),SLICE_2F17_RECONCILED (runtime tool confirmed 0 unverified for app.engines.invoice_payment.provider_router)
POST,/v1/staff/service-invoices/{invoice_id}/items,staff_add_invoice_item,app.engines.invoice_payment.provider_router,TENANT_TECHNICIAN_MUTATION,staff_add_invoice_item|require_owner_or_office_staff_mutation|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already fixed in Slice 2F-6A; canonical CSV was stale (see phase-02a-slice-02f17/),SLICE_2F17_RECONCILED (runtime tool confirmed 0 unverified for app.engines.invoice_payment.provider_router)
POST,/v1/staff/service-jobs/{job_id}/accept,accept_job,app.engines.home_service_assignment.staff_router,TENANT_USER_MUTATION,accept_job|require_staff_or_above_mutation|require_staff_or_above|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/staff/service-jobs/{job_id}/complete,staff_complete_job,app.engines.execution.home_service_router,TENANT_USER_MUTATION,staff_complete_job|require_staff_or_above_mutation|require_staff_or_above|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/staff/service-jobs/{job_id}/complete-inspection,staff_complete_inspection,app.engines.execution.home_service_router,TENANT_USER_MUTATION,staff_complete_inspection|require_staff_or_above_mutation|require_staff_or_above|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/staff/service-jobs/{job_id}/customer-not-available,staff_customer_not_available,app.engines.execution.home_service_router,TENANT_USER_MUTATION,staff_customer_not_available|require_staff_or_above_mutation|require_staff_or_above|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/staff/service-jobs/{job_id}/diagnosis-notes,staff_add_diagnosis_note,app.engines.execution.home_service_router,TENANT_USER_MUTATION,staff_add_diagnosis_note|require_staff_or_above_mutation|require_staff_or_above|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/staff/service-jobs/{job_id}/media,staff_upload_media,app.engines.execution.home_service_router,TENANT_USER_MUTATION,staff_upload_media|require_staff_or_above_mutation|require_staff_or_above|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/staff/service-jobs/{job_id}/notes,staff_add_note,app.engines.execution.home_service_router,TENANT_USER_MUTATION,staff_add_note|require_staff_or_above_mutation|require_staff_or_above|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/staff/service-jobs/{job_id}/on-the-way,staff_on_the_way,app.engines.execution.home_service_router,TENANT_USER_MUTATION,staff_on_the_way|require_staff_or_above_mutation|require_staff_or_above|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/staff/service-jobs/{job_id}/parts-requests,staff_create_parts_request,app.engines.execution.home_service_router,TENANT_USER_MUTATION,staff_create_parts_request|require_staff_or_above_mutation|require_staff_or_above|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/staff/service-jobs/{job_id}/parts-required,staff_parts_required,app.engines.execution.home_service_router,TENANT_USER_MUTATION,staff_parts_required|require_staff_or_above_mutation|require_staff_or_above|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/staff/service-jobs/{job_id}/quote-required,staff_quote_required,app.engines.execution.home_service_router,TENANT_USER_MUTATION,staff_quote_required|require_staff_or_above_mutation|require_staff_or_above|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/staff/service-jobs/{job_id}/reached-site,staff_reached_site,app.engines.execution.home_service_router,TENANT_USER_MUTATION,staff_reached_site|require_staff_or_above_mutation|require_staff_or_above|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/staff/service-jobs/{job_id}/reject,reject_job,app.engines.home_service_assignment.staff_router,TENANT_USER_MUTATION,reject_job|require_staff_or_above_mutation|require_staff_or_above|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/staff/service-jobs/{job_id}/start-inspection,staff_start_inspection,app.engines.execution.home_service_router,TENANT_USER_MUTATION,staff_start_inspection|require_staff_or_above_mutation|require_staff_or_above|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/staff/service-jobs/{job_id}/start-service,staff_start_service,app.engines.execution.home_service_router,TENANT_USER_MUTATION,staff_start_service|require_staff_or_above_mutation|require_staff_or_above|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/staff/service-jobs/{job_id}/work-done,staff_work_done,app.engines.execution.home_service_router,TENANT_USER_MUTATION,staff_work_done|require_staff_or_above_mutation|require_staff_or_above|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/tenant/catalog/disable-service,disable_service,app.engines.admin_catalog.tenant_router,TENANT_USER_MUTATION,disable_service|require_tenant_mutation_tenant_update|get_current_user|_svc|get_db|get_current_user,FULLY_PROTECTED,none - fully protected,RUNTIME_VERIFIED (route+dependency data from live app); per-endpoint domain/ownership semantics not individually hand-reviewed for every row
POST,/v1/tenant/catalog/enable-service,enable_service,app.engines.admin_catalog.tenant_router,TENANT_USER_MUTATION,enable_service|require_tenant_mutation_tenant_update|get_current_user|_svc|get_db|get_current_user,FULLY_PROTECTED,none - fully protected,RUNTIME_VERIFIED (route+dependency data from live app); per-endpoint domain/ownership semantics not individually hand-reviewed for every row
PUT,/v1/tenant/catalog/enabled-services/{tenant_service_id},update_enabled_service,app.engines.admin_catalog.tenant_router,TENANT_USER_MUTATION,update_enabled_service|require_tenant_mutation_tenant_update|get_current_user|_svc|get_db|get_current_user,FULLY_PROTECTED,none - fully protected,RUNTIME_VERIFIED (route+dependency data from live app); per-endpoint domain/ownership semantics not individually hand-reviewed for every row
PUT,/v1/tenant/catalog/enabled-services/{tenant_service_id}/brands,set_tenant_service_brands,app.engines.admin_catalog.tenant_router,TENANT_USER_MUTATION,set_tenant_service_brands|require_tenant_mutation_tenant_update|get_current_user|_svc|get_db|get_current_user,FULLY_PROTECTED,none - fully protected,RUNTIME_VERIFIED (route+dependency data from live app); per-endpoint domain/ownership semantics not individually hand-reviewed for every row
