Domain,Capability,Admin Page,UI Control,Frontend Client,Method,API Route,Router,Service,Model/Table,Permission,Vertical Guard,Tenant Scope,Audit Event,Backend Test,Frontend Test,Live Proof,Result,Gap,Fix
Finance,Security Deposits,/admin/home-services/finance (Deposits tab),Approve/Reject/Record/Verify refund,homeServicesFinanceApi,GET/POST,/v1/admin/finance/home-services/deposits*,finance_hub/admin_router.py,HomeServicesFinanceService,SecurityDeposit,FINANCE_DEPOSITS_*/FINANCE_HOME_SERVICES_*,require_vertical_enabled(home_services),tenant,Not confirmed,No,No,Confirmed real Phase 2 (run() action wrapper pattern),PROVEN (connectivity),None this pass,None
Finance,Deprecated deposit routes (package_commerce),none,n/a,none (correctly unused),POST,/v1/admin/tenants/{id}/security-deposit*,package_commerce/admin_router.py,n/a,SecurityDeposit,require_super_admin,None,tenant,No,No,No,Confirmed returns HTTP 410 (already fixed),LEGACY (correctly blocked),None,None needed
Finance,Credits & Top-ups,/admin/home-services/finance (Credits tab),Top-up/adjust,homeServicesFinanceApi,GET/POST,/v1/admin/finance/home-services/topups*  /credit-ledger*,finance_hub/admin_router.py,HomeServicesFinanceService,usage_credit_topup_order/usage_credit_ledger,FINANCE_HOME_SERVICES_ADJUSTMENTS_CREATE,require_vertical_enabled(home_services),tenant,Not confirmed,No,No,Confirmed real Phase 2,PROVEN (connectivity),None this pass,None
Finance,Provider Wallets (legacy),/admin/provider-wallets (redirect stub),n/a,walletApi,GET,/v1/admin/provider-wallets*,invoice_payment/admin_router.py,various,TenantWallet,require_super_admin,None,tenant,No,No,No,Confirmed redirect stub; backend unused by any live page (Phase 2),LEGACY,None,Document as legacy; backend kept for potential API consumers
Finance,Direct-Payment Records,/admin/home-services/finance (Direct Payments tab),Record/view confirmation,homeServicesFinanceApi,GET,/v1/admin/finance/home-services/direct-payments*,finance_hub/admin_router.py,HomeServicesFinanceService,ServicePaymentRecord,FINANCE_HOME_SERVICES_PAYMENTS_VIEW,require_vertical_enabled(home_services),tenant,Not confirmed,No,No,Confirmed real Phase 2,PROVEN (connectivity),Payment-confirmation-conflict investigation flow not live-tested,Live-test conflict path
Notifications,booking.confirmed / booking.new / job.assigned events,(Inbox tab in Notification Center),n/a (system-produced),sprint27AdminApi,GET,/v1/admin/notifications*,platform_notifications/admin_router.py,NotificationService,NotificationEvent/Outbox/InAppNotification,require_platform_staff,vertical_key column present (added earlier this session),n/a,No dedicated audit table (SettingAuditLog-style pattern),3 tests (this session),No,Live-verified end-to-end earlier this session (real event->outbox->delivery chain proven),PROVEN,None,None
Notifications,Mandatory-event protection,/admin/notifications (Personal Preferences tab),Locked toggle,sprint27AdminApi,PUT,/v1/admin/notifications/preferences,platform_notifications/admin_router.py,NotificationService.update_preference,NotificationPreference,require_platform_staff,n/a,n/a,No,4 tests (this session),No,Live-verified (422 on mandatory event) earlier this session,PROVEN,None,None
Configuration,Registered-key-only configuration changes,/admin/configuration,Create Configuration Change,configurationApi,POST,/v1/admin/configuration/{key}/change-request,settings_engine/configuration_router.py,ConfigurationPolicyService,ConfigurationValueVersion,CONFIGURATION_CHANGE_REQUEST_CREATE,"n/a (global config, not vertical)",n/a,SettingAuditLog (reused),26 tests (this session),No,Live-verified (locked-setting rejection + self-approval rejection + write-through) earlier this session,PROVEN,None,None
Legacy Pricing (Gate 6 finding),City/Tier floor pricing (CityTierConfig) -- NOT retired at code level,"/admin/pricing (unlinked from active AdminLayout nav, reachable by direct URL only)",Create/Edit/Deactivate city-tier floor price,pricingApi.listCityTiers/createCityTier/updateCityTier/deleteCityTier,GET/POST/PUT/DELETE,/v1/pricing/city-tiers*,pricing/router.py,PricingService (city_tier methods),CityTierConfig,Not confirmed this pass,None,global (cross-tenant floor price by city+tier+category),Not confirmed this pass,No,No,"CONFIRMED THIS PASS: fully live, backend-connected admin page (page's own comment says 'PROVEN: pricingApi.listCityTiers/create/update/delete all connected' from an earlier session). Router mounted in main.py:475-476. nav-config.ts lists it but that file is only imported by a /dev showcase page, NOT the real AdminLayout.tsx sidebar -- so it is correctly hidden from the live nav, but still directly reachable by URL and fully functional.","PROVEN (retired safely, live-verified)","FIXED THIS PASS: confirmed zero live rows in city_tier_configs before acting (no migration needed). Blocked the 3 admin mutation routes (POST/PUT/DELETE /v1/pricing/city-tiers) with a real 410, matching the exact established precedent in package_commerce/admin_router.py (FINAL-L5-05U security-deposit block). Left GET reads in place since PricingService.set_tenant_price still queries this table by design -- with zero rows and no way to create new ones, the floor-price check permanently no-ops. Converted /admin/pricing to a retired-feature notice page (same pattern as /admin/service-options), not deleted.","Done -- live-verified: POST/PUT/DELETE return 410, GET still 200, retired page loads 200, 57/57 tests pass"
Environment/Data Integrity,Dev DB seed data orphaned from tenants table,N/A -- cross-cutting environment finding,N/A,N/A,N/A,N/A,N/A,N/A,"service_jobs, tenants, users",N/A,N/A,N/A,N/A,No,No,"CONFIRMED THIS PASS via direct DB query: ALL 20 rows in service_jobs (across all 8 distinct tenant_id values they use) reference tenant_id values that do not exist in the tenants table (0 of 20 join successfully). Separately, ServiceJob.assigned_staff_id values (e.g. bbabec43-aa9b-4ff7-8afc-2e2c7b84194d) do not match any row in users or provider_team_members either. This dev database also has zero users with role technician/staff anywhere (only tenant_owner x38, super_admin x1).","DISCONNECTED (environment/seed-data issue, not a code defect)","The service_jobs seed data in this environment was generated independently of (and is now inconsistent with) the real tenants/users tables -- likely from an earlier seed/reset that was not re-run after tenants/users were reset or regenerated. This means every ""live-verified"" read against service_jobs in this and earlier passes (Service Jobs list, Assignment/reassignment, SLA calc) is exercising the real code path against orphaned rows, not a fully realistic tenant. The code itself is not at fault -- discovered while trying to live-test job reassignment (see ""Assignment/reassignment"" row) and generalized by checking all service_jobs rows.","Regenerate service_jobs (and dependent assignment/SLA) seed data through the real booking -> job creation pipeline against currently-real tenants, or run a data-integrity backfill/cleanup job. Do NOT hand-insert rows to force a passing test -- that would fabricate proof rather than fix the underlying environment. Until this is done, live E2E proofs that touch service_jobs in this environment should be treated as code-path-verified but not data-realistic."
