method,path,endpoint,module,final_persona,basis,evidence_level,admitted_roles,actor_derivation,tenant_derivation,role_branching,db_writes,external_effects,auth_dependencies
PUT,/v1/tenant/checklist-templates/{template_id}/items/{item_id},update_item,app.engines.field_ops.checklist_router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,raw_sql,,require_tenant_mutation_field_ops_checklist_manage|get_current_user|require_field_ops_checklist_manage|get_current_user
GET,/v1/ds/tenants/{tenant_id}/churn/score,get_churn_score,app.engines.data_science.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.get_churn_score); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.get_churn_score,no,add|flush,,get_current_user|get_current_user
GET,/v1/ds/tenants/{tenant_id}/churn/factors,get_churn_factors,app.engines.data_science.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.get_churn_factors); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.get_churn_factors,no,add,,get_current_user|get_current_user
GET,/v1/ds/tenants/{tenant_id}/demand/forecast,get_forecast,app.engines.data_science.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.get_demand_forecast); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.get_demand_forecast,no,add|flush,,get_current_user|get_current_user
POST,/v1/ds/tenants/{tenant_id}/demand/recompute,trigger_recompute,app.engines.data_science.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.trigger_recompute); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.trigger_recompute,no,add|flush,,require_tenant_update|get_current_user|get_current_user
GET,/v1/ds/tenants/{tenant_id}/pricing/recommendations,pricing_recs,app.engines.data_science.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.get_pricing_recommendations); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.get_pricing_recommendations,no,add|flush,,get_current_user|get_current_user
POST,/v1/ds/tenants/{tenant_id}/pricing/apply,apply_pricing,app.engines.data_science.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,raw_sql,,require_tenant_update|get_current_user|get_current_user
GET,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv,customer_ltv,app.engines.data_science.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.get_customer_ltv); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.get_customer_ltv,no,add|flush,,get_current_user|get_current_user
POST,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv/recompute,recompute_ltv,app.engines.data_science.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.recompute_ltv); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.recompute_ltv,no,add|flush,,get_current_user|get_current_user
POST,/v1/rag/knowledge-bases,create_kb,app.engines.rag.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.create_kb); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.create_kb,no,add|flush,,require_tenant_update|get_current_user|get_current_user
PUT,/v1/rag/knowledge-bases/{kb_id},update_kb,app.engines.rag.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,raw_sql,,require_tenant_update|get_current_user|get_current_user
DELETE,/v1/rag/knowledge-bases/{kb_id},delete_kb,app.engines.rag.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.delete_kb); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.delete_kb,no,sqlalchemy.update(),,require_tenant_update|get_current_user|get_current_user
POST,/v1/rag/knowledge-bases/{kb_id}/documents,ingest_document,app.engines.rag.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.ingest_document); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.ingest_document,no,add|flush,,require_tenant_update|get_current_user|get_current_user
DELETE,/v1/rag/documents/{doc_id},delete_document,app.engines.rag.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.delete_document); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.delete_document,no,delete|sqlalchemy.update(),,require_tenant_update|get_current_user|get_current_user
POST,/v1/rag/documents/{doc_id}/reindex,reindex_document,app.engines.rag.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.reindex_document); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.reindex_document,no,add|flush|sqlalchemy.update(),,require_tenant_update|get_current_user|get_current_user
PUT,/v1/settings/tenants/{tenant_id}/{key},set_tenant,app.engines.settings_engine.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.set_tenant_setting); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.set_tenant_setting,no,add,,require_tenant_update|get_current_user|get_current_user
DELETE,/v1/settings/tenants/{tenant_id}/{key},delete_tenant,app.engines.settings_engine.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.delete_tenant_setting); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.delete_tenant_setting,no,add|delete,,require_tenant_update|get_current_user|get_current_user
POST,/v1/notifications/send,send_notification,app.engines.notification.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.send); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.send,no,add|flush,,get_current_user|get_current_user
PUT,/v1/notifications/tenants/{tenant_id}/channels/{channel},set_channel,app.engines.notification.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.set_channel_config); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.set_channel_config,no,add,,require_tenant_update|get_current_user|get_current_user
POST,/v1/media/upload/initiate,initiate_upload,app.engines.media.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.initiate_upload); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.initiate_upload,no,add|flush,,get_current_user|get_current_user
POST,/v1/media/upload/{session_id}/confirm,confirm_upload,app.engines.media.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.confirm_upload); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.confirm_upload,no,add|flush,,get_current_user|get_current_user
DELETE,/v1/media/tenants/{tenant_id}/files/{file_id},delete_file,app.engines.media.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.delete_file); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.delete_file,no,,delete_file,require_tenant_update|get_current_user|get_current_user
POST,/v1/analytics/events/ingest,ingest_event,app.engines.analytics.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.ingest_event); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.ingest_event,no,add|flush,,get_current_user|get_current_user
DELETE,/v1/media/{media_id},delete_media,app.engines.media.new_router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (asset_service.delete_asset); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:asset_service.delete_asset,no,raw_sql,delete_file,get_current_user|get_current_user
DELETE,/v1/me/profile-photo,remove_my_profile_photo,app.engines.media.new_router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,,delete_file,get_current_user|get_current_user
GET,/v1/media/signed/{token},resolve_signed_media,app.engines.media.admin_router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,raw_sql,,get_current_user
POST,/v1/pricing/tenants/{tenant_id}/prices/set,set_tenant_price,app.engines.pricing.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.set_tenant_price); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.set_tenant_price,no,add|flush,,require_tenant_update|get_current_user|get_current_user
PUT,/v1/pricing/tenants/{tenant_id}/brand-adjustment,set_brand_adj,app.engines.pricing.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.set_brand_adjustment); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.set_brand_adjustment,no,add|flush,,require_tenant_update|get_current_user|get_current_user
POST,/v1/pricing/tenants/{tenant_id}/zones,create_zone,app.engines.pricing.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.create_zone); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.create_zone,no,add|flush,,require_tenant_update|get_current_user|get_current_user
PUT,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},update_zone,app.engines.pricing.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.update_zone); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.update_zone,no,raw_sql,,require_tenant_update|get_current_user|get_current_user
DELETE,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},delete_zone,app.engines.pricing.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.delete_zone); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.delete_zone,no,delete,,require_tenant_update|get_current_user|get_current_user
POST,/v1/pricing/tenants/{tenant_id}/rules,create_rule,app.engines.pricing.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.create_rule); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.create_rule,no,add|flush,,require_tenant_update|get_current_user|get_current_user
PUT,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},update_rule,app.engines.pricing.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.update_rule); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.update_rule,no,raw_sql,,require_tenant_update|get_current_user|get_current_user
DELETE,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},delete_rule,app.engines.pricing.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,delete,,require_tenant_update|get_current_user|get_current_user
POST,/v1/pricing/compute,compute_price,app.engines.pricing.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.compute_and_snapshot); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.compute_and_snapshot,no,add|flush|sqlalchemy.update(),,get_current_user|get_current_user
POST,/v1/commerce/tenants/{tenant_id}/deposit/admin-adjust,admin_adjust_deposit,app.engines.platform_commerce.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add|flush,,require_finance_deposits_update|get_current_user|get_current_user
POST,/v1/commerce/tenants/{tenant_id}/wallet/purchase/initiate,initiate_purchase,app.engines.platform_commerce.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.initiate_purchase); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.initiate_purchase,no,add|flush,create_order,require_tenant_billing_manage|get_current_user|get_current_user
POST,/v1/commerce/warranty/claims,submit_claim,app.engines.platform_commerce.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.submit_claim); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,yes,service:service.submit_claim,no,add|flush,,get_current_user|get_current_user
POST,/v1/commerce/tenants/{tenant_id}/badges/recalculate,recalculate_badges,app.engines.platform_commerce.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.recalculate_badges); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.recalculate_badges,no,add,,require_tenant_health_read|get_current_user|get_current_user
POST,/v1/enterprise/column-preferences/reset,reset_column_preferences,app.engines.enterprise_grid.router,PLATFORM_INTERNAL_MUTATION,mutates an object owned by the authenticated principal itself,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,yes,,no,commit|delete,,get_current_user
POST,/v1/enterprise/exports/{export_id}/retry,retry_export,app.engines.enterprise_grid.router,PLATFORM_INTERNAL_MUTATION,mutates an object owned by the authenticated principal itself,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,yes,,no,commit,,get_current_user
POST,/v1/enterprise/exports/{export_id}/cancel,cancel_export,app.engines.enterprise_grid.router,PLATFORM_INTERNAL_MUTATION,mutates an object owned by the authenticated principal itself,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,yes,,no,commit,,get_current_user
GET,/v1/enterprise/exports/{export_id}/download,download_export,app.engines.enterprise_grid.router,PLATFORM_INTERNAL_MUTATION,mutates an object owned by the authenticated principal itself,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,yes,,no,commit,,get_current_user
POST,/v1/provider/notifications/{notification_id}/read,provider_mark_read,app.engines.platform_notifications.provider_router,PLATFORM_INTERNAL_MUTATION,mutates an object owned by the authenticated principal itself,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,yes,,no,commit,,require_owner_or_office_staff_mutation|get_current_user
POST,/v1/provider/notifications/mark-all-read,provider_mark_all_read,app.engines.platform_notifications.provider_router,PLATFORM_INTERNAL_MUTATION,mutates an object owned by the authenticated principal itself,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,yes,,no,commit,,require_owner_or_office_staff_mutation|get_current_user
