method,path,behavior,persona,tenant_direction,capability_family,side_effect,evidence
PUT,/v1/notifications/tenants/{tenant_id}/channels/{channel},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,notification,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/media/upload/initiate,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,media,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/media/upload/{session_id}/confirm,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,media,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
DELETE,/v1/media/tenants/{tenant_id}/files/{file_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,media,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/analytics/events/ingest,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,analytics,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
DELETE,/v1/media/{media_id},DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,media,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
DELETE,/v1/me/profile-photo,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,media,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
GET,/v1/media/signed/{token},READ_ONLY,READ_ONLY_NOT_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,media,PURE_READ,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/pricing/tenants/{tenant_id}/prices/set,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,pricing,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
PUT,/v1/pricing/tenants/{tenant_id}/brand-adjustment,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,pricing,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/pricing/tenants/{tenant_id}/zones,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,pricing,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
PUT,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,pricing,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
DELETE,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,pricing,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/pricing/tenants/{tenant_id}/rules,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,pricing,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
PUT,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,pricing,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
DELETE,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,pricing,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/pricing/compute,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,CLIENT_ASSERTED_TARGET_TENANT,pricing,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/commerce/tenants/{tenant_id}/deposit/admin-adjust,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,package_commerce,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=admin_finance|super_admin;tenant_guard=False;tenants=True
POST,/v1/commerce/tenants/{tenant_id}/wallet/purchase/initiate,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,package_commerce,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/commerce/warranty/claims,DATABASE_MUTATION,SELF_SERVICE_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,package_commerce,DATABASE_MUTATION,cap=SELF;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/commerce/tenants/{tenant_id}/badges/recalculate,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,package_commerce,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=admin_finance|admin_operations|admin_readonly|super_admin|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/enterprise/column-preferences/reset,DATABASE_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,analytics,DATABASE_MUTATION,cap=SELF;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/enterprise/exports/{export_id}/retry,DATABASE_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,analytics,DATABASE_MUTATION,cap=SELF;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/enterprise/exports/{export_id}/cancel,DATABASE_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,analytics,DATABASE_MUTATION,cap=SELF;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
GET,/v1/enterprise/exports/{export_id}/download,MUTATING_GET,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,analytics,DATABASE_MUTATION,cap=SELF;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/provider/notifications/{notification_id}/read,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,notification,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=staff|super_admin|tenant_owner;tenant_guard=True;tenants=False
POST,/v1/provider/notifications/mark-all-read,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,notification,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=staff|super_admin|tenant_owner;tenant_guard=True;tenants=False
