method,path,endpoint,module,mounted,source_file,source_line,cls_side_effect,cls_family,cls_action,cls_persona,cls_direction
POST,/v1/commerce/tenants/{tenant_id}/deposit/admin-adjust,admin_adjust_deposit,app.engines.platform_commerce.router,YES,app\engines\platform_commerce\router.py,84,DATABASE_MUTATION,package_commerce,REQUIRES_MANUAL_ACTION_ADJUDICATION,PLATFORM_ADMIN_MUTATION,PLATFORM_ADMIN_TARGET_TENANT
POST,/v1/commerce/tenants/{tenant_id}/wallet/purchase/initiate,initiate_purchase,app.engines.platform_commerce.router,YES,app\engines\platform_commerce\router.py,149,DATABASE_MUTATION,package_commerce,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/commerce/warranty/claims,submit_claim,app.engines.platform_commerce.router,YES,app\engines\platform_commerce\router.py,397,DATABASE_MUTATION,package_commerce,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/commerce/tenants/{tenant_id}/badges/recalculate,recalculate_badges,app.engines.platform_commerce.router,YES,app\engines\platform_commerce\router.py,455,DATABASE_MUTATION,package_commerce,recalculate,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/enterprise/column-preferences/reset,reset_column_preferences,app.engines.enterprise_grid.router,YES,app\engines\enterprise_grid\router.py,364,DATABASE_MUTATION,analytics,REQUIRES_MANUAL_ACTION_ADJUDICATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED
POST,/v1/enterprise/exports/{export_id}/retry,retry_export,app.engines.enterprise_grid.router,YES,app\engines\enterprise_grid\router.py,560,DATABASE_MUTATION,analytics,resend,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED
POST,/v1/enterprise/exports/{export_id}/cancel,cancel_export,app.engines.enterprise_grid.router,YES,app\engines\enterprise_grid\router.py,599,DATABASE_MUTATION,analytics,cancel,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED
GET,/v1/enterprise/exports/{export_id}/download,download_export,app.engines.enterprise_grid.router,YES,app\engines\enterprise_grid\router.py,633,DATABASE_MUTATION,analytics,other,SELF_SERVICE_READ,NO_TENANT_AUTHORITY_REQUIRED
POST,/v1/provider/notifications/{notification_id}/read,provider_mark_read,app.engines.platform_notifications.provider_router,YES,app\engines\platform_notifications\provider_router.py,104,DATABASE_MUTATION,notification,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
POST,/v1/provider/notifications/mark-all-read,provider_mark_all_read,app.engines.platform_notifications.provider_router,YES,app\engines\platform_notifications\provider_router.py,115,DATABASE_MUTATION,notification,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
