method,path,operation_id,requires_auth,primary_tag,summary
POST,/v1/admin/engines/category-matrix/{category_id}/engines/{engine_key}/mark-required,mark_category_engine_required_v1_admin_engines_category_matrix__category_id__engines__engine_key__mark_required_post,True,admin-engine-management,Mark Category Engine Required
GET,/v1/admin/engines/category-matrix/{category_id}/engines/{engine_key}/packages,category_engine_package_usage_v1_admin_engines_category_matrix__category_id__engines__engine_key__packages_get,True,admin-engine-management,Category Engine Package Usage
GET,/v1/admin/engines/category-matrix/{category_id}/engines/{engine_key}/tenant-impact,category_engine_tenant_impact_v1_admin_engines_category_matrix__category_id__engines__engine_key__tenant_impact_get,True,admin-engine-management,Category Engine Tenant Impact
POST,/v1/admin/engines/category-matrix/{category_id}/seed-defaults,seed_category_defaults_v1_admin_engines_category_matrix__category_id__seed_defaults_post,True,admin-engine-management,Seed Category Defaults
POST,/v1/admin/engines/category-matrix/{category_id}/seed-defaults/preview,seed_category_defaults_preview_v1_admin_engines_category_matrix__category_id__seed_defaults_preview_post,True,admin-engine-management,Seed Category Defaults Preview
GET,/v1/admin/engines/category-matrix/{category_id}/summary,get_category_matrix_summary_v1_admin_engines_category_matrix__category_id__summary_get,True,admin-engine-management,Get Category Matrix Summary
GET,/v1/admin/engines/dependencies,list_all_dependencies_v1_admin_engines_dependencies_get,True,admin-engine-management,List All Dependencies
GET,/v1/admin/engines/dependencies/graph,get_dependency_graph_v1_admin_engines_dependencies_graph_get,True,admin-engine-management,Get Dependency Graph
POST,/v1/admin/engines/dependencies/validate,validate_dependencies_v1_admin_engines_dependencies_validate_post,True,admin-engine-management,Validate Dependencies
GET,/v1/admin/engines/health,get_engines_health_v1_admin_engines_health_get,True,Admin — Provider Management,Get Engines Health
POST,/v1/admin/engines/health/check-all,run_all_health_checks_v1_admin_engines_health_check_all_post,True,admin-engine-management,Run All Health Checks
GET,/v1/admin/engines/package-entitlements,get_package_entitlements_all_v1_admin_engines_package_entitlements_get,True,admin-engine-management,Get Package Entitlements All
GET,/v1/admin/engines/package-entitlements/{package_id},get_package_entitlements_v1_admin_engines_package_entitlements__package_id__get,True,admin-engine-management,Get Package Entitlements
POST,/v1/admin/engines/package-entitlements/{package_id}/engines/{engine_key}/include,include_package_engine_v1_admin_engines_package_entitlements__package_id__engines__engine_key__include_post,True,admin-engine-management,Include Package Engine
POST,/v1/admin/engines/package-entitlements/{package_id}/engines/{engine_key}/remove,remove_package_engine_v1_admin_engines_package_entitlements__package_id__engines__engine_key__remove_post,True,admin-engine-management,Remove Package Engine
POST,/v1/admin/engines/package-entitlements/{package_id}/preview-impact,package_entitlement_impact_v1_admin_engines_package_entitlements__package_id__preview_impact_post,True,admin-engine-management,Package Entitlement Impact
GET,/v1/admin/engines/permissions,list_all_permissions_v1_admin_engines_permissions_get,True,admin-engine-management,List All Permissions
PUT,/v1/admin/engines/permissions/{permission_id},update_permission_v1_admin_engines_permissions__permission_id__put,True,admin-engine-management,Update Permission
POST,/v1/admin/engines/resolve-access-preview,resolve_access_preview_v1_admin_engines_resolve_access_preview_post,True,admin-engine-management,Resolve Access Preview
GET,/v1/admin/engines/summary,get_summary_v1_admin_engines_summary_get,True,admin-engine-management,Get Summary
GET,/v1/admin/engines/tenant-overrides,list_all_overrides_v1_admin_engines_tenant_overrides_get,True,admin-engine-management,List All Overrides
GET,/v1/admin/engines/tenant-overrides/{tenant_id},get_tenant_overrides_v1_admin_engines_tenant_overrides__tenant_id__get,True,admin-engine-management,Get Tenant Overrides
POST,/v1/admin/engines/tenant-overrides/{tenant_id},create_tenant_override_v1_admin_engines_tenant_overrides__tenant_id__post,True,admin-engine-management,Create Tenant Override
POST,/v1/admin/engines/tenant-overrides/{tenant_id}/{override_id}/revoke,revoke_tenant_override_v1_admin_engines_tenant_overrides__tenant_id___override_id__revoke_post,True,admin-engine-management,Revoke Tenant Override
GET,/v1/admin/engines/{engine_key},get_engine_v1_admin_engines__engine_key__get,True,admin-engine-management,Get Engine
PUT,/v1/admin/engines/{engine_key},update_engine_v1_admin_engines__engine_key__put,True,admin-engine-management,Update Engine
POST,/v1/admin/engines/{engine_key}/disable,disable_engine_v1_admin_engines__engine_key__disable_post,True,admin-engine-management,Disable Engine
POST,/v1/admin/engines/{engine_key}/enable,enable_engine_v1_admin_engines__engine_key__enable_post,True,admin-engine-management,Enable Engine
GET,/v1/admin/engines/{engine_key}/health,get_engine_health_v1_admin_engines__engine_key__health_get,True,admin-engine-management,Get Engine Health
POST,/v1/admin/engines/{engine_key}/health/check,run_health_check_v1_admin_engines__engine_key__health_check_post,True,admin-engine-management,Run Health Check
POST,/v1/admin/engines/{engine_key}/impact-preview,impact_preview_v1_admin_engines__engine_key__impact_preview_post,True,admin-engine-management,Impact Preview
GET,/v1/admin/engines/{engine_key}/permissions,get_engine_permissions_v1_admin_engines__engine_key__permissions_get,True,admin-engine-management,Get Engine Permissions
GET,/v1/admin/final-records/appointments,admin_list_appointments_v1_admin_final_records_appointments_get,True,Admin Final Records,List all coaching appointments (admin)
GET,/v1/admin/final-records/appointments/{appointment_id},admin_get_appointment_v1_admin_final_records_appointments__appointment_id__get,True,Admin Final Records,Get a coaching appointment (admin)
GET,/v1/admin/final-records/audit-logs,admin_list_audit_logs_v1_admin_final_records_audit_logs_get,True,Admin Final Records,List final creation audit logs (admin)
GET,/v1/admin/final-records/bookings,admin_list_bookings_v1_admin_final_records_bookings_get,True,Admin Final Records,List all service bookings (admin)
GET,/v1/admin/final-records/bookings/{booking_id},admin_get_booking_v1_admin_final_records_bookings__booking_id__get,True,Admin Final Records,Get a service booking (admin)
GET,/v1/admin/final-records/confirmations,admin_list_confirmations_v1_admin_final_records_confirmations_get,True,Admin Final Records,List customer booking confirmations (admin)
GET,/v1/admin/final-records/jobs,admin_list_jobs_v1_admin_final_records_jobs_get,True,Admin Final Records,List all service jobs (admin)
GET,/v1/admin/final-records/jobs/{job_id},admin_get_job_v1_admin_final_records_jobs__job_id__get,True,Admin Final Records,Get a service job (admin)
GET,/v1/admin/final-records/leads,admin_list_leads_v1_admin_final_records_leads_get,True,Admin Final Records,List all real estate leads (admin)
GET,/v1/admin/final-records/leads/{lead_id},admin_get_lead_v1_admin_final_records_leads__lead_id__get,True,Admin Final Records,Get a real estate lead (admin)
GET,/v1/admin/finance/audit-logs,list_audit_logs_v1_admin_finance_audit_logs_get,True,Finance Hub,Query finance audit logs for an entity
GET,/v1/admin/finance/commissions,admin_commissions_v1_admin_finance_commissions_get,True,Admin Finance,Step 9: All commissions (platform-wide)
GET,/v1/admin/finance/credits,list_credits_v1_admin_finance_credits_get,True,admin-finance-settlements,List Credits
GET,/v1/admin/finance/credits/summary,get_credit_summary_v1_admin_finance_credits_summary_get,True,admin-finance-settlements,Get Credit Summary
GET,/v1/admin/finance/credits/{credit_id},get_credit_v1_admin_finance_credits__credit_id__get,True,admin-finance-settlements,Get Credit
POST,/v1/admin/finance/credits/{credit_id}/cancel,cancel_credit_v1_admin_finance_credits__credit_id__cancel_post,True,admin-finance-settlements,Cancel Credit
POST,/v1/admin/finance/credits/{credit_id}/extend,extend_credit_v1_admin_finance_credits__credit_id__extend_post,True,admin-finance-settlements,Extend Credit
POST,/v1/admin/finance/customers/{customer_id}/credits,issue_manual_credit_v1_admin_finance_customers__customer_id__credits_post,True,admin-finance-settlements,Issue Manual Credit
GET,/v1/admin/finance/deposits,list_deposits_v1_admin_finance_deposits_get,True,Finance Hub,List security deposits
GET,/v1/admin/finance/deposits/export,export_deposits_v1_admin_finance_deposits_export_get,True,Finance Hub,Export security deposits
GET,/v1/admin/finance/deposits/summary,deposits_summary_v1_admin_finance_deposits_summary_get,True,Finance Hub,Security deposits summary cards
GET,/v1/admin/finance/deposits/{deposit_id},get_deposit_v1_admin_finance_deposits__deposit_id__get,True,Finance Hub,Get security deposit detail
POST,/v1/admin/finance/deposits/{deposit_id}/adjust,adjust_deposit_v1_admin_finance_deposits__deposit_id__adjust_post,True,Finance Hub,Adjust / forfeit security deposit
POST,/v1/admin/finance/deposits/{deposit_id}/approve,approve_deposit_v1_admin_finance_deposits__deposit_id__approve_post,True,Finance Hub,Approve security deposit
POST,/v1/admin/finance/deposits/{deposit_id}/record-offline,record_offline_deposit_v1_admin_finance_deposits__deposit_id__record_offline_post,True,Finance Hub,Record an offline deposit payment
POST,/v1/admin/finance/deposits/{deposit_id}/refund,refund_deposit_v1_admin_finance_deposits__deposit_id__refund_post,True,Finance Hub,Refund security deposit
POST,/v1/admin/finance/deposits/{deposit_id}/reject,reject_deposit_v1_admin_finance_deposits__deposit_id__reject_post,True,Finance Hub,Reject security deposit
POST,/v1/admin/finance/disputes/{dispute_id}/settlements,create_settlement_v1_admin_finance_disputes__dispute_id__settlements_post,True,admin-finance-settlements,Create Settlement
POST,/v1/admin/finance/disputes/{dispute_id}/settlements/preview,preview_deduction_v1_admin_finance_disputes__dispute_id__settlements_preview_post,True,admin-finance-settlements,Preview Deduction
GET,/v1/admin/finance/invoices,admin_invoices_v1_admin_finance_invoices_get,True,Admin Finance,Step 9: All invoices (platform-wide)
GET,/v1/admin/finance/overview,finance_overview_v1_admin_finance_overview_get,True,Finance Hub,Finance Hub overview insights
GET,/v1/admin/finance/payments,admin_payments_v1_admin_finance_payments_get,True,Admin Finance,Step 9: All payments (platform-wide)
GET,/v1/admin/finance/payouts,list_payouts_v1_admin_finance_payouts_get,True,Finance Hub,List payouts
GET,/v1/admin/finance/payouts/export,export_payouts_v1_admin_finance_payouts_export_get,True,Finance Hub,Export payouts
GET,/v1/admin/finance/payouts/summary,payouts_summary_v1_admin_finance_payouts_summary_get,True,Finance Hub,Payouts summary cards
GET,/v1/admin/finance/payouts/{payout_id},get_payout_v1_admin_finance_payouts__payout_id__get,True,Finance Hub,Get payout detail
POST,/v1/admin/finance/payouts/{payout_id}/approve,approve_payout_v1_admin_finance_payouts__payout_id__approve_post,True,Finance Hub,Approve payout
POST,/v1/admin/finance/payouts/{payout_id}/mark-completed,mark_completed_v1_admin_finance_payouts__payout_id__mark_completed_post,True,Finance Hub,Mark payout as completed
POST,/v1/admin/finance/payouts/{payout_id}/mark-failed,mark_failed_v1_admin_finance_payouts__payout_id__mark_failed_post,True,Finance Hub,Mark payout as failed
POST,/v1/admin/finance/payouts/{payout_id}/mark-processing,mark_processing_v1_admin_finance_payouts__payout_id__mark_processing_post,True,Finance Hub,Mark payout as processing
POST,/v1/admin/finance/payouts/{payout_id}/reject,reject_payout_v1_admin_finance_payouts__payout_id__reject_post,True,Finance Hub,Reject payout
GET,/v1/admin/finance/penalties,list_penalties_v1_admin_finance_penalties_get,True,admin-finance-settlements,List Penalties
GET,/v1/admin/finance/penalties/summary,get_penalty_summary_v1_admin_finance_penalties_summary_get,True,admin-finance-settlements,Get Penalty Summary
GET,/v1/admin/finance/settlements,list_settlements_v1_admin_finance_settlements_get,True,admin-finance-settlements,List Settlements
GET,/v1/admin/finance/settlements/summary,get_settlement_summary_v1_admin_finance_settlements_summary_get,True,admin-finance-settlements,Get Settlement Summary
GET,/v1/admin/finance/settlements/{settlement_id},get_settlement_v1_admin_finance_settlements__settlement_id__get,True,admin-finance-settlements,Get Settlement
POST,/v1/admin/finance/settlements/{settlement_id}/approve,approve_settlement_v1_admin_finance_settlements__settlement_id__approve_post,True,admin-finance-settlements,Approve Settlement
POST,/v1/admin/finance/settlements/{settlement_id}/cancel,cancel_settlement_v1_admin_finance_settlements__settlement_id__cancel_post,True,admin-finance-settlements,Cancel Settlement
POST,/v1/admin/finance/settlements/{settlement_id}/execute,execute_settlement_v1_admin_finance_settlements__settlement_id__execute_post,True,admin-finance-settlements,Execute Settlement
GET,/v1/admin/finance/summary,admin_finance_summary_v1_admin_finance_summary_get,True,Admin Finance,Step 9: Platform-wide finance summary
GET,/v1/admin/finance/topups,list_topups_v1_admin_finance_topups_get,True,Finance Hub,List credit top-ups
GET,/v1/admin/finance/topups/export,export_topups_v1_admin_finance_topups_export_get,True,Finance Hub,Export credit top-ups
GET,/v1/admin/finance/topups/summary,topups_summary_v1_admin_finance_topups_summary_get,True,Finance Hub,Credit top-ups summary cards
GET,/v1/admin/finance/topups/{topup_id},get_topup_v1_admin_finance_topups__topup_id__get,True,Finance Hub,Get credit top-up detail
POST,/v1/admin/finance/topups/{topup_id}/refund,refund_topup_v1_admin_finance_topups__topup_id__refund_post,True,Finance Hub,Refund a credit top-up
POST,/v1/admin/finance/topups/{topup_id}/retry-credit,retry_credit_v1_admin_finance_topups__topup_id__retry_credit_post,True,Finance Hub,Retry credit posting
GET,/v1/admin/finance/vertical-config/{vertical_type},get_vertical_config_v1_admin_finance_vertical_config__vertical_type__get,True,admin-finance-settlements,Get Vertical Config
GET,/v1/admin/finance/wallets,list_wallets_v1_admin_finance_wallets_get,True,Finance Hub,Wallet directory
GET,/v1/admin/finance/wallets/{wallet_id}/ledger,get_wallet_ledger_v1_admin_finance_wallets__wallet_id__ledger_get,True,Finance Hub,Wallet ledger detail
GET,/v1/admin/finance/warranty-claims,list_claims_v1_admin_finance_warranty_claims_get,True,Finance Hub,List warranty claims
GET,/v1/admin/finance/warranty-claims/export,export_claims_v1_admin_finance_warranty_claims_export_get,True,Finance Hub,Export warranty claims
GET,/v1/admin/finance/warranty-claims/summary,claims_summary_v1_admin_finance_warranty_claims_summary_get,True,Finance Hub,Warranty claims summary cards
GET,/v1/admin/finance/warranty-claims/{claim_id},get_claim_v1_admin_finance_warranty_claims__claim_id__get,True,Finance Hub,Get warranty claim detail
POST,/v1/admin/finance/warranty-claims/{claim_id}/approve,approve_claim_v1_admin_finance_warranty_claims__claim_id__approve_post,True,Finance Hub,Approve warranty claim
POST,/v1/admin/finance/warranty-claims/{claim_id}/assign,assign_reviewer_v1_admin_finance_warranty_claims__claim_id__assign_post,True,Finance Hub,Assign a reviewer to a claim
POST,/v1/admin/finance/warranty-claims/{claim_id}/reject,reject_claim_v1_admin_finance_warranty_claims__claim_id__reject_post,True,Finance Hub,Reject warranty claim
POST,/v1/admin/finance/warranty-claims/{claim_id}/request-documents,request_documents_v1_admin_finance_warranty_claims__claim_id__request_documents_post,True,Finance Hub,Request additional documents
POST,/v1/admin/finance/warranty-claims/{claim_id}/settle,settle_claim_v1_admin_finance_warranty_claims__claim_id__settle_post,True,Finance Hub,Settle an approved warranty claim
GET,/v1/admin/financial-events,admin_financial_events_v1_admin_financial_events_get,True,admin-financial-events,Admin Financial Events
GET,/v1/admin/home-services/booking-drafts,admin_list_drafts_v1_admin_home_services_booking_drafts_get,True,Admin Home Service Booking Drafts,Admin: list all Home Service booking drafts
GET,/v1/admin/home-services/booking-drafts/{draft_id},admin_get_draft_v1_admin_home_services_booking_drafts__draft_id__get,True,Admin Home Service Booking Drafts,Admin: get a single booking draft
GET,/v1/admin/home-services/booking-drafts/{draft_id}/events,admin_get_draft_events_v1_admin_home_services_booking_drafts__draft_id__events_get,True,Admin Home Service Booking Drafts,Admin: get all events for a booking draft
GET,/v1/admin/home-services/config,get_home_services_config_v1_admin_home_services_config_get,True,Home Services Price Experience,Get Home Services pricing feature-flag status (manual bargain vs. automatic pric
POST,/v1/admin/home-services/matching/diagnostics,admin_matching_diagnostics_v1_admin_home_services_matching_diagnostics_post,True,Home Services Price Experience,Run provider-first matching for given parameters and show full diagnostics (admi
POST,/v1/admin/home-services/price-experience/preview,admin_price_experience_preview_v1_admin_home_services_price_experience_preview_post,True,Home Services Price Experience,Preview automatic Low/Mid/High price options from raw parameters (admin testing 
POST,/v1/admin/home-services/service-catalog/price-preview,console_price_preview_v1_admin_home_services_service_catalog_price_preview_post,True,Home Services Catalog Console,Customer Price Preview — symmetric Low/Mid/High from a provider price range
GET,/v1/admin/home-services/service-catalog/services,list_console_services_v1_admin_home_services_service_catalog_services_get,True,Home Services Catalog Console,Grouped Home Services catalog for the console's left panel
GET,/v1/admin/home-services/service-catalog/services/{service_id},get_console_service_detail_v1_admin_home_services_service_catalog_services__service_id__get,True,Home Services Catalog Console,Selected service detail — general + types + brands
GET,/v1/admin/home-services/service-catalog/services/{service_id}/audit,get_console_service_audit_v1_admin_home_services_service_catalog_services__service_id__audit_get,True,Home Services Catalog Console,Activity tab — recent changes to this service and its pricing rules
GET,/v1/admin/home-services/service-catalog/services/{service_id}/brands,get_console_brand_pricing_v1_admin_home_services_service_catalog_services__service_id__brands_get,True,Home Services Catalog Console,Brands tab — behavior + override limits + customer preview
PUT,/v1/admin/home-services/service-catalog/services/{service_id}/brands/{brand_id}/limits,set_console_brand_limits_v1_admin_home_services_service_catalog_services__service_id__brands__brand_id__limits_put,True,Home Services Catalog Console,Set admin floor/ceiling for a brand override
PUT,/v1/admin/home-services/service-catalog/services/{service_id}/brands/{mapping_id}/behavior,set_console_brand_behavior_v1_admin_home_services_service_catalog_services__service_id__brands__mapping_id__behavior_put,True,Home Services Catalog Console,Set whether a brand can override price / is routing-only
GET,/v1/admin/home-services/service-catalog/services/{service_id}/types,get_console_type_pricing_v1_admin_home_services_service_catalog_services__service_id__types_get,True,Home Services Catalog Console,Types & Pricing tab — each type with admin floor/ceiling + customer preview
PUT,/v1/admin/home-services/service-catalog/services/{service_id}/types/{service_type_id}/limits,set_console_type_limits_v1_admin_home_services_service_catalog_services__service_id__types__service_type_id__limits_put,True,Home Services Catalog Console,"Set admin floor/ceiling, platform fee, and deduction credits for a type"
GET,/v1/admin/intelligence/ai-usage/cost-breakdown,get_cost_breakdown_v1_admin_intelligence_ai_usage_cost_breakdown_get,True,Intelligence Command Center,Get Cost Breakdown
GET,/v1/admin/intelligence/ai-usage/logs,list_ai_usage_logs_v1_admin_intelligence_ai_usage_logs_get,True,Intelligence Command Center,List Ai Usage Logs
GET,/v1/admin/intelligence/ai-usage/summary,get_ai_usage_summary_v1_admin_intelligence_ai_usage_summary_get,True,Intelligence Command Center,Get Ai Usage Summary
GET,/v1/admin/intelligence/anomalies,list_anomalies_v1_admin_intelligence_anomalies_get,True,Intelligence Command Center,List Anomalies
POST,/v1/admin/intelligence/anomalies/run-scan,run_anomaly_scan_v1_admin_intelligence_anomalies_run_scan_post,True,Intelligence Command Center,Run Anomaly Scan
GET,/v1/admin/intelligence/anomalies/{anomaly_id},get_anomaly_v1_admin_intelligence_anomalies__anomaly_id__get,True,Intelligence Command Center,Get Anomaly
POST,/v1/admin/intelligence/anomalies/{anomaly_id}/false-positive,mark_false_positive_v1_admin_intelligence_anomalies__anomaly_id__false_positive_post,True,Intelligence Command Center,Mark False Positive
POST,/v1/admin/intelligence/anomalies/{anomaly_id}/investigate,investigate_anomaly_v1_admin_intelligence_anomalies__anomaly_id__investigate_post,True,Intelligence Command Center,Investigate Anomaly
POST,/v1/admin/intelligence/anomalies/{anomaly_id}/resolve,resolve_anomaly_v1_admin_intelligence_anomalies__anomaly_id__resolve_post,True,Intelligence Command Center,Resolve Anomaly
GET,/v1/admin/intelligence/audit-logs,get_audit_logs_v1_admin_intelligence_audit_logs_get,True,Intelligence Command Center,Get Audit Logs
GET,/v1/admin/intelligence/data-quality/checks,list_data_quality_checks_v1_admin_intelligence_data_quality_checks_get,True,Intelligence Command Center,List Data Quality Checks
GET,/v1/admin/intelligence/data-quality/checks/{check_key}/failures,get_check_failures_v1_admin_intelligence_data_quality_checks__check_key__failures_get,True,Intelligence Command Center,Get Check Failures
POST,/v1/admin/intelligence/data-quality/checks/{check_key}/run,run_data_quality_check_v1_admin_intelligence_data_quality_checks__check_key__run_post,True,Intelligence Command Center,Run Data Quality Check
GET,/v1/admin/intelligence/data-quality/summary,get_data_quality_summary_v1_admin_intelligence_data_quality_summary_get,True,Intelligence Command Center,Get Data Quality Summary
GET,/v1/admin/intelligence/events/failures,get_event_failures_v1_admin_intelligence_events_failures_get,True,Intelligence Command Center,Get Event Failures
GET,/v1/admin/intelligence/events/sources,get_event_sources_v1_admin_intelligence_events_sources_get,True,Intelligence Command Center,Get Event Sources
GET,/v1/admin/intelligence/events/summary,get_event_summary_v1_admin_intelligence_events_summary_get,True,Intelligence Command Center,Get Event Summary
GET,/v1/admin/intelligence/knowledge-bases,list_kbs_v1_admin_intelligence_knowledge_bases_get,True,Knowledge Base Enterprise,List Kbs
POST,/v1/admin/intelligence/knowledge-bases,create_kb_v1_admin_intelligence_knowledge_bases_post,True,Knowledge Base Enterprise,Create Kb
POST,/v1/admin/intelligence/knowledge-bases/seed-defaults,seed_defaults_v1_admin_intelligence_knowledge_bases_seed_defaults_post,True,Knowledge Base Enterprise,Seed Defaults
POST,/v1/admin/intelligence/knowledge-bases/seed-defaults/preview,seed_defaults_preview_v1_admin_intelligence_knowledge_bases_seed_defaults_preview_post,True,Knowledge Base Enterprise,Seed Defaults Preview
GET,/v1/admin/intelligence/knowledge-bases/summary,get_kb_summary_v1_admin_intelligence_knowledge_bases_summary_get,True,Knowledge Base Enterprise,Get Kb Summary
GET,/v1/admin/intelligence/knowledge-bases/{kb_id},get_kb_v1_admin_intelligence_knowledge_bases__kb_id__get,True,Knowledge Base Enterprise,Get Kb
PUT,/v1/admin/intelligence/knowledge-bases/{kb_id},update_kb_v1_admin_intelligence_knowledge_bases__kb_id__put,True,Knowledge Base Enterprise,Update Kb
DELETE,/v1/admin/intelligence/knowledge-bases/{kb_id},delete_kb_v1_admin_intelligence_knowledge_bases__kb_id__delete,True,Knowledge Base Enterprise,Delete Kb
POST,/v1/admin/intelligence/knowledge-bases/{kb_id}/access-preview,preview_access_v1_admin_intelligence_knowledge_bases__kb_id__access_preview_post,True,Knowledge Base Enterprise,Preview Access
POST,/v1/admin/intelligence/knowledge-bases/{kb_id}/activate,activate_kb_v1_admin_intelligence_knowledge_bases__kb_id__activate_post,True,Knowledge Base Enterprise,Activate Kb
POST,/v1/admin/intelligence/knowledge-bases/{kb_id}/archive,archive_kb_v1_admin_intelligence_knowledge_bases__kb_id__archive_post,True,Knowledge Base Enterprise,Archive Kb
POST,/v1/admin/intelligence/knowledge-bases/{kb_id}/articles,create_article_v1_admin_intelligence_knowledge_bases__kb_id__articles_post,True,Knowledge Base Enterprise,Create Article
GET,/v1/admin/intelligence/knowledge-bases/{kb_id}/articles,list_articles_v1_admin_intelligence_knowledge_bases__kb_id__articles_get,True,Knowledge Base Enterprise,List Articles
PUT,/v1/admin/intelligence/knowledge-bases/{kb_id}/articles/{article_id},update_article_v1_admin_intelligence_knowledge_bases__kb_id__articles__article_id__put,True,Knowledge Base Enterprise,Update Article
POST,/v1/admin/intelligence/knowledge-bases/{kb_id}/articles/{article_id}/publish,publish_article_v1_admin_intelligence_knowledge_bases__kb_id__articles__article_id__publish_post,True,Knowledge Base Enterprise,Publish Article
GET,/v1/admin/intelligence/knowledge-bases/{kb_id}/audit-logs,get_audit_logs_v1_admin_intelligence_knowledge_bases__kb_id__audit_logs_get,True,Knowledge Base Enterprise,Get Audit Logs
GET,/v1/admin/intelligence/knowledge-bases/{kb_id}/chunks,list_chunks_v1_admin_intelligence_knowledge_bases__kb_id__chunks_get,True,Knowledge Base Enterprise,List Chunks
POST,/v1/admin/intelligence/knowledge-bases/{kb_id}/disable,disable_kb_v1_admin_intelligence_knowledge_bases__kb_id__disable_post,True,Knowledge Base Enterprise,Disable Kb
GET,/v1/admin/intelligence/knowledge-bases/{kb_id}/documents,list_documents_v1_admin_intelligence_knowledge_bases__kb_id__documents_get,True,Knowledge Base Enterprise,List Documents
POST,/v1/admin/intelligence/knowledge-bases/{kb_id}/documents/link-media,link_media_v1_admin_intelligence_knowledge_bases__kb_id__documents_link_media_post,True,Knowledge Base Enterprise,Link Media
POST,/v1/admin/intelligence/knowledge-bases/{kb_id}/documents/upload,upload_document_v1_admin_intelligence_knowledge_bases__kb_id__documents_upload_post,True,Knowledge Base Enterprise,Upload Document
DELETE,/v1/admin/intelligence/knowledge-bases/{kb_id}/documents/{document_id},delete_document_v1_admin_intelligence_knowledge_bases__kb_id__documents__document_id__delete,True,Knowledge Base Enterprise,Delete Document
POST,/v1/admin/intelligence/knowledge-bases/{kb_id}/index,trigger_index_v1_admin_intelligence_knowledge_bases__kb_id__index_post,True,Knowledge Base Enterprise,Trigger Index
GET,/v1/admin/intelligence/knowledge-bases/{kb_id}/indexing-jobs,list_indexing_jobs_v1_admin_intelligence_knowledge_bases__kb_id__indexing_jobs_get,True,Knowledge Base Enterprise,List Indexing Jobs
GET,/v1/admin/intelligence/knowledge-bases/{kb_id}/query-logs,list_query_logs_v1_admin_intelligence_knowledge_bases__kb_id__query_logs_get,True,Knowledge Base Enterprise,List Query Logs
POST,/v1/admin/intelligence/knowledge-bases/{kb_id}/reindex,trigger_reindex_v1_admin_intelligence_knowledge_bases__kb_id__reindex_post,True,Knowledge Base Enterprise,Trigger Reindex
GET,/v1/admin/intelligence/knowledge-bases/{kb_id}/retrieval-quality,get_retrieval_quality_v1_admin_intelligence_knowledge_bases__kb_id__retrieval_quality_get,True,Knowledge Base Enterprise,Get Retrieval Quality
POST,/v1/admin/intelligence/knowledge-bases/{kb_id}/sources/url,add_url_source_v1_admin_intelligence_knowledge_bases__kb_id__sources_url_post,True,Knowledge Base Enterprise,Add Url Source
POST,/v1/admin/intelligence/knowledge-bases/{kb_id}/test-query,test_query_v1_admin_intelligence_knowledge_bases__kb_id__test_query_post,True,Knowledge Base Enterprise,Test Query
GET,/v1/admin/intelligence/knowledge-bases/{kb_id}/versions,get_versions_v1_admin_intelligence_knowledge_bases__kb_id__versions_get,True,Knowledge Base Enterprise,Get Versions
GET,/v1/admin/intelligence/models,list_models_v1_admin_intelligence_models_get,True,Intelligence Command Center,List Models
GET,/v1/admin/intelligence/models/{model_id},get_model_v1_admin_intelligence_models__model_id__get,True,Intelligence Command Center,Get Model
POST,/v1/admin/intelligence/models/{model_id}/activate,activate_model_v1_admin_intelligence_models__model_id__activate_post,True,Intelligence Command Center,Activate Model
POST,/v1/admin/intelligence/models/{model_id}/deactivate,deactivate_model_v1_admin_intelligence_models__model_id__deactivate_post,True,Intelligence Command Center,Deactivate Model
POST,/v1/admin/intelligence/models/{model_id}/evaluate,evaluate_model_v1_admin_intelligence_models__model_id__evaluate_post,True,Intelligence Command Center,Evaluate Model
GET,/v1/admin/intelligence/prediction-jobs,list_prediction_jobs_v1_admin_intelligence_prediction_jobs_get,True,Intelligence Command Center,List Prediction Jobs
POST,/v1/admin/intelligence/prediction-jobs,create_prediction_job_v1_admin_intelligence_prediction_jobs_post,True,Intelligence Command Center,Create Prediction Job
GET,/v1/admin/intelligence/prediction-jobs/{job_id},get_prediction_job_v1_admin_intelligence_prediction_jobs__job_id__get,True,Intelligence Command Center,Get Prediction Job
POST,/v1/admin/intelligence/prediction-jobs/{job_id}/cancel,cancel_prediction_job_v1_admin_intelligence_prediction_jobs__job_id__cancel_post,True,Intelligence Command Center,Cancel Prediction Job
POST,/v1/admin/intelligence/prediction-jobs/{job_id}/retry,retry_prediction_job_v1_admin_intelligence_prediction_jobs__job_id__retry_post,True,Intelligence Command Center,Retry Prediction Job
GET,/v1/admin/intelligence/rag/query-logs,list_query_logs_v1_admin_intelligence_rag_query_logs_get,True,Intelligence Command Center,List Query Logs
GET,/v1/admin/intelligence/rag/retrieval-quality,get_retrieval_quality_v1_admin_intelligence_rag_retrieval_quality_get,True,Intelligence Command Center,Get Retrieval Quality
GET,/v1/admin/intelligence/rag/summary,get_rag_summary_v1_admin_intelligence_rag_summary_get,True,Intelligence Command Center,Get Rag Summary
GET,/v1/admin/intelligence/risk/entities,list_risk_entities_v1_admin_intelligence_risk_entities_get,True,Intelligence Command Center,List Risk Entities
GET,/v1/admin/intelligence/risk/summary,get_risk_summary_v1_admin_intelligence_risk_summary_get,True,Intelligence Command Center,Get Risk Summary
